"Armed Actors/ Security Personnel Casualties Total","Civilian Casualties Total","Civilians Injured","Civilians Killed","Country","Date","Description","Location"
"2","2","0","2","Afghanistan","2020-09-10","Bomb attached to motorcycle during wedding reception in Kundi area of Khost","Urban Residential"
"3","0","0","0","Afghanistan","2020-09-21","Roadside bomb near security post in Moqor ","Armed Base"
"8","0","0","0","Afghanistan","2020-09-21","8 police killed in Taliban attack using rocket fire in Tagab district","Armed Base"
"2","0","0","0","Afghanistan","2020-09-07","Grenade thrown at police HQ in Shirin Tagab district kills 1 police officer","No Information"
"3","0","0","0","Afghanistan","2020-09-07","Police officer killed in roadside bomb in Makaki area of Kand district","Road"
"4","0","0","0","Afghanistan","2020-09-19","Police chief killed and 3 soldiers injured in Ata Khona area","Road"
"0","2","1","1","Afghanistan","2020-09-18","Taliban mine killed farmed and wounded son in Mianashin District","No Information"
"1","0","0","0","Afghanistan","2020-09-18","Second mine explodes in Mianashin District killing soldier trying to evacuate wounded ","No Information"
"1","0","0","0","Afghanistan","2020-09-18","Roadside bomb in Konjak area killed 1 police","No Information"
"0","11","10","1","Afghanistan","2020-09-17","Grenade explosion in potato field kills child and wounds 10","Agricultural Land"
"0","2","1","1","Afghanistan","2020-09-15","1 killed and 1 wounded in roadside bomb explosion in Qala-e-Naw","Urban Residential"
"0","3","0","3","Afghanistan","2020-09-06","3 killed when mortar hits home in Kamal village in Kunduz province","Village"
"5","0","0","0","Afghanistan","2020-09-14","Taliban car bomb targeted outpost in Aziz Abad","Village"
"6","0","0","0","Afghanistan","2020-09-13","1 police killed and 5 injured in Taliban roadside bomb blast in Ali Abad district","Road"
"4","0","0","0","Afghanistan","2020-09-13","Roadside bomb explosion kills 4 soldiers in Shiniyah","Village"
"0","1","0","1","Afghanistan","2020-09-06","Farmer killed by bomb planted in wheatfield in Masjid-e-Sabz village","Village"
"0","3","0","3","Afghanistan","2020-09-05","3 killed in roadside bomb explosion in Band-e-Ali district","Village"
"8","0","0","0","Afghanistan","2020-10-06","4 soldiers killed in car bomb attack on security post in Helmand at 11pm","Armed Base"
"0","3","0","3","Afghanistan","2020-10-07","3 killed in Kapisa's Khisha Chena area by bomb blast","Road"
"3","0","0","0","Afghanistan","2020-10-07","Suicide car bomber shot at exploding vehicle and injuring 2 soldiers","Armed Base"
"2","3","2","1","Afghanistan","2020-10-07","District governor killed in roadside bomb explosion in Laghman","Road"
"0","14","9","5","Afghanistan","2020-10-10","5 killed and 9 injured in roadside bomb explosion in Helmand when bus hits","Urban Residential"
"0","12","10","2","Afghanistan","2020-10-10","2 killed and 10 injured in roadside bomb explosion on Herat-Kandahar highway when bus hits","Village"
"30","0","0","0","Afghanistan","2020-10-10","Taliban hideouts struck by Afghan forces killing 26 in Helmand","No Information"
"0","12","7","5","Afghanistan","2020-10-12","5 killed in mortar attack in Kunduz's  Shorabi Qeshlaq neighborhood","Urban Residential"
"2","0","0","0","Afghanistan","2020-10-12","IED explosion killed 1 army officer and wounded another in Kabul's PD12","Road"
"1","0","0","0","Afghanistan","2020-10-13","Police offider killed by IED targeting vehicle in Paghman","Road"
"0","2","0","2","Afghanistan","2020-10-14","2 women killed in mortar shelling on home in Helmand","Urban Residential"
"0","15","10","5","Afghanistan","2020-10-14","5 children killed and 10 wounded when vehicle hit roadside bomb ","Village"
"1","16","13","3","Afghanistan","2020-10-14","3 killed and 14 wounded by magnetic bomb on police vehicle","No Information"
"6","0","0","0","Afghanistan","2020-10-15","Car bomb wounds 6 police at Zabul checkpoint","Armed Base"
"4","0","0","0","Afghanistan","2020-10-17","3 police killed and 1 wounded in roadside bomb in Parwan ","Road"
"0","9","3","6","Afghanistan","2020-10-16","6 killed and 3 injured in roadside bomb blast in Ferozkoh city","Public Transport"
"0","4","4","0","Afghanistan","2020-10-16","4 wounded in IED blast in Chamkani district ","Multiple (urban)"
"0","4","4","0","Afghanistan","2020-10-17","4 injured in roadside bomb blast in Shakay village","Village"
"0","1","0","1","Afghanistan","2020-10-17","Bomb detonates outisde religious school in Nangarhar killing director","School"
"35","132","119","13","Afghanistan","2020-10-18","Suicide car bomb kills 15 and wounded 152 in Ghor province","Public Building"
"0","4","2","2","Afghanistan","2020-10-18","2 women killed and 2 children injured in Taliban rocket fire on Deh Rawood","Urban Residential"
"0","5","4","1","Afghanistan","2020-10-19","1 killed and 4 injured in shelling by Pakistan on Kunar","Urban Residential"
"0","26","14","12","Afghanistan","2020-10-21","12 children killed and several wounded in airstrike on mosque in Takhar, suspecting Taliban were hiding there","Place Of Worship"
"0","14","9","5","Afghanistan","2020-10-20","5 killed and 9 injured in two roadside bomb blasts in Jalrez district","Road"
"7","0","0","0","Afghanistan","2020-10-20","5 police killed in roadside bomb in Nimroz","Road"
"7","0","0","0","Afghanistan","2020-10-20","7 police killed in roadside bomb in Kang district","Road"
"2","0","0","0","Afghanistan","2020-10-21","Roadside bomb in Kandahar injured two Romanian soldiers ","Road"
"0","18","14","4","Afghanistan","2020-10-22","4 killed and 14 injured in Shelling on local bazaar in Faryab","Market"
"2","9","0","9","Afghanistan","2020-10-24","9 civilians killed and 2 police wounded in IED blast in Ghazni","Urban Residential"
"7","0","0","0","Afghanistan","2020-10-25","7 Taliban killed in airstrike on Tooat locality ","No Information"
"11","0","0","0","Afghanistan","2020-10-25","10 Taliban killed and 1 wounded in Afghan airstrike","No Information"
"1","81","57","24","Afghanistan","2020-10-24","Suicide bombing at educational cener in Kabul kills 24 ","School"
"0","3","3","0","Afghanistan","2020-10-26","3 civilians injured in bomb attack on government vehicle in Kabul","Urban Residential"
"0","4","0","4","Afghanistan","2020-10-26","4 children killed in bomb blast infront of home in Paktika","Urban Residential"
"0","13","10","3","Afghanistan","2020-10-27","3 killed and 10 injured in magnetic IED in Char Qala in Kabul","Urban Residential"
"1","3","0","3","Afghanistan","2020-10-25","US airstrike in Narkh district, Wardak kills 3 civilians and a Taliban commander -some report more Taliban killed","No Information"
"22","9","9","0","Afghanistan","2020-10-27","6, including 4 attackers, killed and 25 others injured in car bomb and gun fight near police base in Khost - figures disputed by doctor","Armed Base"
"0","8","5","3","Afghanistan","2020-10-27","3 killed and 5 injured in roadside bomb blast in Shinkai district ","Road"
"9","0","0","0","Afghanistan","2020-10-30","9 Taliban killed in Afghan airstrike in Nawa district","No Information"
"4","1","1","0","Afghanistan","2020-11-01","3 police, 1 injured and 1 civilian injured in bomb blast at checkpoint in Herat","Armed Base"
"100","0","0","0","Afghanistan","2020-11-01","60 Taliban killed and 40 injured in airstrikes on Kandahar's Mandozai area","No Information"
"10","0","0","0","Afghanistan","2020-11-01","4 bodyguards killed and 6 injured in mortar attack on Kunduz","Public Building"
"1","44","22","22","Afghanistan","2020-11-02","22 killed and others injured in suicide bombing and gun attack at university","School"
"0","7","0","7","Afghanistan","2020-11-02","Roadside bomb in Helmand kills 7 when a mini bus was hit","Road"
"4","0","0","0","Afghanistan","2020-11-02","2 security personnel and 2 wounded in car bomb in Zarmat district","Armed Base"
"3","0","0","0","Afghanistan","2020-11-01","Roadside bomb kills commander and injures 2 servicemen in Kunduz","Road"
"13","0","0","0","Afghanistan","2020-11-03","13 taliban killed in Afghan airstrikes in Kandahar ","No Information"
"0","25","20","5","Afghanistan","2020-11-04","5 killed and 20 injured in airstrike on Kunduz's Khanabad district after civilians attempted to steal equipment from military base","No Information"
"11","0","0","0","Afghanistan","2020-11-06","Head of Talibans intelligence for Nadali district of Helmand Province was killed with 9 others in airstrike","No Information"
"0","3","0","3","Afghanistan","2020-11-07","Former Afghan TV presenter and 2 other civilians killed in a bomb explosion in Kabul","Town Centre"
"4","0","0","0","Afghanistan","2020-11-06","1 policeman was killed and three others injured as a roadside bomb struck police vehicle in Kandahar city","Urban Residential"
"0","6","1","5","Afghanistan","2020-10-28","Roadside bomb in Sarkarez area of Maiwand District kills five civilians","Road"
"0","1","0","1","Afghanistan","2020-10-27","Roadside bomb in Chak district kills one civilian","Road"
"1","0","0","0","Afghanistan","2020-10-26","Roadside bomb kills soldier in Mullah Sardar area of Kunduz City","Road"
"0","4","0","4","Afghanistan","2020-10-25","Roadside bomb kills 4 civilians in Wardak/s Kota-e-Ashro area","Road"
"0","3","1","2","Afghanistan","2020-10-25","Roadside bomb in Wayand area of Shawalikot District kills 2 ","Road"
"0","1","0","1","Afghanistan","2020-10-25","10-year-old child was killed by a roadside bomb placed by the Taliban in the village of Shah-Bidak","Village"
"0","4","0","4","Afghanistan","2020-10-25","Four children were killed when they stepped on a roadside bomb planted by the Taliban in Kotwal village","Village"
"0","2","1","1","Afghanistan","2020-10-22","Roadside bomb exploded in Dehrawoud District, killing one civilian and wounding another","Road"
"0","2","0","2","Afghanistan","2020-10-22","A vehicle was hit by a roadside bomb in Ab-Kamari District, killing two civilians","Road"
"2","4","1","3","Afghanistan","2020-10-21","Bomb attached to NDS vehicle detonates in Lashkar Gah killing 2 police and 3 civilians","Urban Residential"
"0","3","1","2","Afghanistan","2020-10-18","2 killed and 1 injured in roadside bomb in Koshk-e-Robat Sangi District","Road"
"0","1","0","1","Afghanistan","2020-10-18","A woman was killed by a roadside bomb in Dehrawoud District","Road"
"4","0","0","0","Afghanistan","2020-10-18","Bomb attached to a military vehicle exploded in the 10th Police District, killing 1","Urban Residential"
"8","0","0","0","Afghanistan","2020-10-16","A missile fired by the Taliban hit a security outpost in Faizabads Eight Police District","Armed Base"
"4","0","0","0","Afghanistan","2020-10-16","Police officer was killed and three others were wounded by roadside bomb in Koshk-e-Robat Sangi District","Road"
"0","5","0","5","Afghanistan","2020-10-14","A roadside bomb planted by the Taliban exploded against a civilian vehicle in Asmar District, killing five civilians","Road"
"3","0","0","0","Afghanistan","2020-10-14","2 police killed and 1 wounded by roadside bomb in the village of Kariz Elyas","Village"
"0","3","0","3","Afghanistan","2020-10-13","Taliban launched mortars on a residential area in the Khalilan village of Merzaka District, killing three civilians","Village"
"0","2","1","1","Afghanistan","2020-10-13","Child killed and another wounded when donkey stepped on a roadside bomb in the village of Sang-e-Atash","Village"
"2","0","0","0","Afghanistan","2020-10-13","Roadside bomb hit a police vehicle in Aryaan village of Baharak District, killing two police ","Village"
"10","3","0","3","Afghanistan","2020-10-10","Two roadside bombs hit a military convoy in Sar-i-Pul City, killing 10 soldiers and three civilians","Urban Residential"
"0","1","0","1","Afghanistan","2020-10-09","Civilian killed after steppingo n roadside bomb in the village of Madrasah","Village"
"8","0","0","0","Afghanistan","2020-10-08","Roadside bomb in Khashrud District kills two police officers and wounding six","Road"
"11","0","0","0","Afghanistan","2020-10-06","Taliban explosives in a tunnel under a security outpost in Khas Uruzgan District detonated, killing eight police","Armed Base"
"2","0","0","0","Afghanistan","2020-10-05","1 police killed roadside bomb in Lashkar Gah","Road"
"4","0","0","0","Afghanistan","2020-10-05","Military vehicle was blown up by a roadside bomb in Basalan area of Nawa District, killing two police","Road"
"0","1","0","1","Afghanistan","2020-10-04","Tribal elder was killed when a bomb attached to his vehicle exploded in the First Police District of Gardiz","Urban Residential"
"0","2","0","2","Afghanistan","2020-10-03","2 children were killed by a roadside bomb explosion in the Nadi village","Village"
"0","7","2","5","Afghanistan","2020-11-07","5 killed in 2 wounded in roadside bomb blast in Arghandab district","Village"
"0","5","3","2","Afghanistan","2020-11-08","2 killed and 3 injured in roadside bomb blast in Kandahar's Tabin village","Village"
"15","0","0","0","Afghanistan","2020-11-08","8 Taliban killed in airstrike on Baghlan province","No Information"
"0","15","7","8","Afghanistan","2020-11-08","8 civilians killed by Taliban mortar shelling on residential areas in Ghazni","Urban Residential"
"14","49","36","13","Afghanistan","2020-11-08","14 killed, including bomber, and 49 wounded in car bomb in maiwand district - NYT reports 4 deaths and 40 injuried","Market"
"4","16","12","4","Afghanistan","2020-11-07","Car bomb detonates in Qalat district of Zabul killing 4 and injuring 12","Commercial Premises"
"0","2","2","0","Afghanistan","2020-11-09","2 wounded in roadside bomb blast in Kabul","Urban Residential"
"10","0","0","0","Afghanistan","2020-11-10","10 Taliban fighters killed in Afghan airstrike on Helmand","No Information"
"9","10","10","0","Afghanistan","2020-11-10","4 police dead and 10 civilians injured by car bomb next to police base in Almar district - followed by gunfire","Police Station"
"4","0","0","0","Afghanistan","2020-11-09","4 police injured in roadside bomb blast in Braman area","Road"
"0","5","3","2","Afghanistan","2020-11-09","Roadside bomb blast kills 2 civilians and injures 3 in Haji Manan Aka village","Village"
"0","4","3","1","Afghanistan","2020-11-12","Journalist killed in IED blast in Helmand's Lashkar Gah city","Urban Residential"
"3","1","0","1","Afghanistan","2020-11-11","3 police and a civilian killed in IED blast in Lab-e-Jar area in Kabul","Urban Residential"
"3","0","0","0","Afghanistan","2020-11-11","2 police killed and 1 injured in IED blast in Khair Khana neighbourhood","Urban Residential"
"11","0","0","0","Afghanistan","2020-11-10","5 Taliban killed and 6 injured in airstrike on Timorak village of Chaharbolak district of Balkh province","Village"
"0","4","0","4","Afghanistan","2020-11-10","4 women killed in rocket attack in Zhairi district of Kandahar","Village"
"8","0","0","0","Afghanistan","2020-11-13","Suicide car bomb kills 3 soldiers and wounds 4 at western entry gate to Kabul","Armed Base"
"4","0","0","0","Afghanistan","2020-11-13","Deputy commander of border brigade killed in roadside bomb blast in Balkh","Road"
"4","0","0","0","Afghanistan","2020-11-13","2 police killed by roadside bomb on way to army base in Kunduz","Road"
"7","0","0","0","Afghanistan","2020-11-16","7 railways security guards injured in bomb blast in Herat","Road"
"18","0","0","0","Afghanistan","2020-11-14","10 Taliban killed in Afghan airstrike in Shamalzoi district of southern Zabul province","No Information"
"15","3","0","3","Afghanistan","2020-11-16","3 civilians killed in Afghan airstrikes targting Taliban in Uruzgan","Urban Residential"
"3","0","0","0","Afghanistan","2020-11-16","3 police injured in car bomb explosion in Faryab province","Market"
"5","0","0","0","Afghanistan","2020-11-18","5 police killed in roadside bom blast in Qaramqul district","Road"
"0","13","6","7","Afghanistan","2020-11-18","5 killed in mortar shelling in Kunduz when it hits homes ","Urban Residential"
"0","61","51","10","Afghanistan","2020-11-21","8 killed and 31 injured in rocket fire on residential areas in Kabul","Urban Residential"
"1","3","3","0","Afghanistan","2020-11-21","2 sticky bombs explode killing 1 policemean and wounding 3","Urban Residential"
"0","2","2","0","Afghanistan","2020-11-22","2 injured, including a child, in Dand district in Kandahar ","Road"
"0","6","3","3","Afghanistan","2020-11-21","3 killed and 3 injured in roadside bomb  on the Islam-Qala highway of western Herat ","Road"
"0","1","1","0","Afghanistan","2020-11-22","Magnetic mine targeting taxi injures 1 in Kabul","Road"
"44","0","0","0","Afghanistan","2020-11-20","39 Taliban killed and 5 injured in airstrike in Panjwai District of kandahar","No Information"
"10","0","0","0","Afghanistan","2020-11-23","6 Taliban killed and 4 injured in Afghan airstrike in Balkh","Armed Base"
"28","3","0","3","Afghanistan","2020-11-23","15 Taliban killed in airstrikes by Afghan forces on hideouts in Gizab district village - 3 civilians also killed","Village"
"2","57","45","12","Afghanistan","2020-11-24","14 killed and 45 wounded by two explosion in marketplace in Bamiyan","Market"
"11","4","4","0","Afghanistan","2020-11-25","6 police injured in car explosion in Kandahar city","Urban Residential"
"1","0","0","0","Afghanistan","2020-11-28","Police officer wounded in magnetic IED blast in Kabul","No Information"
"0","4","4","0","Afghanistan","2020-11-28","4 injured in magnetic IED explosion in Khair Khana area","Urban Residential"
"0","3","3","0","Afghanistan","2020-11-28","IED injures 3 in magnetic IED explosion in Omid-e-Sabz","Urban Residential"
"13","0","0","0","Afghanistan","2020-11-28","13 Taliban killed in Afghan airstrikes in Badghis","No Information"
"14","0","0","0","Afghanistan","2020-11-27","14 Taliban killed in Afghan airstrikes on hideouts in the Zavi area of Khogyani district","No Information"
"11","0","0","0","Afghanistan","2020-11-27","7 Taliban killed in Afghan airstrike in Imam Sahib district","No Information"
"0","2","2","0","Afghanistan","2020-11-30","2 wounded in blast in PD7 of Kabul ","Urban Residential"
"55","0","0","0","Afghanistan","2020-11-29","Carbomb in Ghazni killed 30 Afghan security force members - some report different figures later","No Information"
"1","26","23","3","Afghanistan","2020-11-29","1 killed and 23 injured in bombing in Zabul province ","Urban Residential"
"7","0","0","0","Afghanistan","2020-11-30","7 fighters killed in airstrike in Ghazni province","No Information"
"9","0","0","0","Afghanistan","2020-11-30","Senior official from Afghan armed forces killed in mortar shelling in Badghis","Armed Base"
"0","4","2","2","Afghanistan","2020-12-01","2 children killed and 2 injured in airstrike in Ghazni","Multiple (urban)"
"4","19","19","0","Afghanistan","2020-12-03","Suicide car bomber kills 3 intelligence officers in eastern Afghanistan - 19 civilians wounded","Commercial Premises"
"2","0","0","0","Afghanistan","2020-12-05","2 soldiers killed in roadside bomb explosion in Faryab","Road"
"18","0","0","0","Afghanistan","2020-12-05","At least 16 Taliban killed in airstrike on Nad Ali","No Information"
"10","0","0","0","Afghanistan","2020-12-05","Car bomb explosion at police checkpoint kills 3 police in Kandahar","Police Station"
"11","22","22","0","Afghanistan","2020-12-07","33 wounded in car bomb blast outside police station in Kandahar - 15 civilians and 7 employees and armed personnel","Police Station"
"6","0","0","0","Afghanistan","2020-12-09","3 soldiers killed and 2 injured in car bomb at operating base in Ghazni","Armed Base"
"12","0","0","0","Afghanistan","2020-12-10","12 Taliban killed in airstrike in Kandahar's Zhari district","No Information"
"1","0","0","0","Afghanistan","2020-11-30","Highway battalion killed by sticky bomb attached to vehicle near Qalat","No Information"
"1","2","2","0","Afghanistan","2020-11-22","One pro-gov militia killed and 2 civilians wounded in motorcycle bombing in the center of Pashto Zarghoon District","Town Centre"
"0","2","0","2","Afghanistan","2020-11-21","2 killed in bomb explosion in Maidan Shahr in Wardak province","No Information"
"0","22","20","2","Afghanistan","2020-11-19","2 killed and 20 injured in bomb explosion in 3rd Police District in Kandahar","Urban Residential"
"5","0","0","0","Afghanistan","2020-11-18","Magentic bomb attached to vehicle in Lashkar Gah explodes killing 1 NDS and wounding 4","Urban Residential"
"0","2","0","2","Afghanistan","2020-11-15","Roadside bomb explosion kills 2 civilian in Khogyani District","Road"
"5","0","0","0","Afghanistan","2020-11-14","Taliban rocket fire hits security outpost killing 3 commandos","Armed Base"
"0","2","0","2","Afghanistan","2020-11-12","2 killed by Taliban planted bomb inside Gorziwan Districts old court office","Public Gathering"
"3","0","0","0","Afghanistan","2020-11-12","2 pro-gov fighters killed in roadside bomb explosion in Dawlat Abad district","Road"
"0","1","0","1","Afghanistan","2020-11-10","Bomb attached to businessman's vehicle explodes killing 1 ","Road"
"0","5","0","5","Afghanistan","2020-11-09","Afghan airstrike on home in Khanabad District kills 5","Urban Residential"
"6","0","0","0","Afghanistan","2020-11-09","Taliban car bomb explosion in Geresk district kills 5 soldiers and wound 1","Armed Base"
"0","6","5","1","Afghanistan","2020-11-09","1 killed and 5 injured in explosion in Maidan Shar","No Information"
"0","3","1","2","Afghanistan","2020-11-08","2 killed and another wounded in roadside bomb explosion in Kandahar City","Road"
"0","7","5","2","Afghanistan","2020-11-07","2 killed and 5 injured in bomb explosion in Qala-e-Naw city","No Information"
"0","2","0","2","Afghanistan","2020-11-07","2 killed in roadside bomb in Firoz Koh","Road"
"1","0","0","0","Afghanistan","2020-11-05","Bomb attached to pro-gov forces vehicle in Mahmod Raqi killing commander","Urban Residential"
"3","0","0","0","Afghanistan","2020-11-05","Soldier killed and 2 wounded in roadside bomb explsion in Khuram O Sarbagh District","Road"
"16","3","0","3","Afghanistan","2020-11-05","Bomb explosion in Sholgara District kills 3 civilians and wounds 16 armed forces","No Information"
"22","20","20","0","Afghanistan","2020-11-03","Car bomb kills 4 security personnel and injures many including civilians in Imam Sahib District","No Information"
"5","0","0","0","Afghanistan","2020-11-02","3 police killed and 2 wounded after roadside bomb explosion in Ab-Kamari district","Road"
"0","7","2","5","Afghanistan","2020-11-02","5 civilians killed in missile fire by Afghan security forces in Khanabad district","Urban Residential"
"0","1","0","1","Afghanistan","2020-11-01","1 killed in roadside bomb explosion in Bagrammi district","No Information"
"0","4","2","2","Afghanistan","2020-12-13","Magnetic IED blast near hotel in Kabul city","Hotel"
"0","5","4","1","Afghanistan","2020-12-12","1 killed and 4 injured in rocket attacks on areas in Kabul","Multiple (urban)"
"0","7","0","7","Afghanistan","2020-12-12","Civilians reported killed in Afghan airstrike in Arghandab district - locals and Taliban report different figures","Urban Residential"
"2","2","0","2","Afghanistan","2020-12-15","Bomb attack on deputy governor in Kabul - two guards were wounded","Urban Residential"
"0","3","2","1","Afghanistan","2020-12-15","Deputy council member killed in Ghor province ","No Information"
"0","4","0","4","Afghanistan","2020-12-13","Roadside bomb blast in Khogyani kills 4 in Nangarhar","Village"
"0","12","9","3","Afghanistan","2020-12-14","2 men and a girl killed when rocket lands on home in Alishang district in Laghman","Urban Residential"
"2","2","0","2","Afghanistan","2020-12-15","IED kills deputy governor in Kabul's PD9 district","Urban Residential"
"0","2","1","1","Afghanistan","2020-12-16","Anti-crimes official killed and another wounded in magnetic bomb blast in Kapisa","Village"
"0","2","2","0","Afghanistan","2020-12-16","2 civilians wounded in bomb blast in Kabul's PD 11","Urban Residential"
"0","3","2","1","Afghanistan","2020-12-15","Sticky bomb kills deputy councilor and injures 2 in Ghor","No Information"
"1","0","0","0","Afghanistan","2020-12-16","1 police killed in landmine blast in Baghlan province","No Information"
"0","35","20","15","Afghanistan","2020-12-18","15 killed in suspected rickshaw bomb at Koran recitation ceremony - Taliban report as UXO blast","Place Of Worship"
"40","0","0","0","Afghanistan","2020-12-18","30 Taliban killed in airstrike on gathering in Qarabagh district","No Information"
"7","0","0","0","Afghanistan","2020-12-20","7 Taliban killed in Afghan airstrike in Char Dara district","No Information"
"0","62","52","10","Afghanistan","2020-12-20","At least 10 killed in car bomb blast in Kabul","Urban Residential"
"0","6","4","2","Afghanistan","2020-12-19","2 killed and 4 injured in roadside bomb blast in Greshk district","Road"
"3","0","0","0","Afghanistan","2020-12-20","Roadside bomb struck a police van injuring 3 police in Jalalabad city","Road"
"1","3","3","0","Afghanistan","2020-12-20","Magnetic bomb injures 4 including 1 police officer in Baharak district","No Information"
"0","4","0","4","Afghanistan","2020-12-19","4 killed in roadside bomb blast in northern Balkh province","Village"
"5","0","0","0","Afghanistan","2020-12-21","5 police killed when car hit IED in Charikar city","No Information"
"0","5","3","2","Afghanistan","2020-12-21","2 killed and another wounded in IED blast in Muqur district","Village"
"0","7","2","5","Afghanistan","2020-12-22","IED, some report roadside bomb and others report magnetic IED, kills 5, including 4 doctors, in Kabul","Urban Residential"
"1","1","0","1","Afghanistan","2020-12-21","1 killed in suicide bombing incident in Paghman district at Bolsan mosque","Place Of Worship"
"2","10","7","3","Afghanistan","2020-12-22","4 killed and 8 injured in roadside bomb blast in Khost","No Information"
"5","8","5","3","Afghanistan","2020-12-22","3 killed in car bomb explosion in Dawlat Abad district","Commercial Premises"
"0","5","1","4","Afghanistan","2020-12-21","4 civilians killed and 1 wounded when tricycle vehicle struck IED in Kandahar","Village"
"0","2","2","0","Afghanistan","2020-12-21","2 wounded in manetic IED explosion in Kabul city's Mahbas square","Town Centre"
"3","0","0","0","Afghanistan","2020-12-23","1 police killed and 2 others injured by explosion of magnetic IED attached to their vehicle","No Information"
"11","0","0","0","Afghanistan","2020-12-23","9 Taliban killed and 2 injured in Afghan airstrike on Sherzad district ","No Information"
"3","0","0","0","Afghanistan","2020-12-22","3 Taliban killed in a joint Afghan security forces airstrike in the Sherzad district","No Information"
"7","0","0","0","Afghanistan","2020-12-24","4 police killed and 3 injured in roadside bomb explosion in Takhar province when it struck SUV Humvee","Road"
"2","2","2","0","Afghanistan","2020-12-26","2 police killed in IED blast in a central Kabul district","Urban Residential"
"2","0","0","0","Afghanistan","2020-12-26","2 security personnel injured in bomb attack in western District of Kabul","No Information"
"1","0","0","0","Afghanistan","2020-12-26","Army officer hits roadside bomb in northern Balkh province","Road"
"2","0","0","0","Afghanistan","2020-12-26","An Afghan security official and soldier killed in roadside bomb blast in Helmand","No Information"
"12","0","0","0","Afghanistan","2020-12-25","7 Taliban killed in Chomtal district by airstrike","No Information"
"1","2","2","0","Afghanistan","2020-12-28","1 member of the security forces and wounded two other people in roadside bomb blast in Khost","Road"
"0","14","13","1","Afghanistan","2020-12-28","1 blast in Kabul's Guzargah neighbourhood killing 1 and 13 wounded","Urban Residential"
"11","0","0","0","Afghanistan","2020-12-27","9 al-Qaeda members killed in Afghan airstrikes in Nawa","No Information"
"4","0","0","0","Afghanistan","2020-12-25","4 Al Qaeda killed in airstrike in Nawa district ","No Information"
"0","3","2","1","Afghanistan","2020-12-31","1 killed and 2 wounded in IED attack in Kabul city","Urban Residential"
"3","0","0","0","Afghanistan","2020-12-29","Bomb attack on head of appellant attorney office's convoy in Parwan province injuring 3 bodyguards","Market"
"0","2","1","1","Afghanistan","2020-12-31","A driver of Administrative Office of country's Presidential Palace, was killed and his boss injured in IED blast","Urban Residential"
"18","0","0","0","Afghanistan","2020-12-31","18 Taliban killed in airstrike on Nangarhar province in Pachiragam district","No Information"
"7","0","0","0","Afghanistan","2020-12-31","Car bomb attack kills 3 soldiers in Maidan Wardak province","No Information"
"0","1","0","1","Afghanistan","2020-12-31","1 killed in roadside bomb blast in Jalalabad's PD1","Urban Residential"
"6","0","0","0","Afghanistan","2020-12-26","3 police killed in Taliban bomb blasts in Uruzgan","Armed Base"
"3","1","1","0","Afghanistan","2020-12-24","Police truck detonated by Taliban roadside bomb in Nakarmora intersection in Khost City","Road"
"12","0","0","0","Afghanistan","2020-12-23","Afghan airstrike on Taliban forces in Nawa killed 2 commandos and 2 soldiers","Road"
"2","0","0","0","Afghanistan","2020-12-23","Roadside bomb kills 1 soldier and wounds another in Aab Pashak area","Road"
"0","3","1","2","Afghanistan","2020-12-22","2 killed and 1 wounded in roadside bomb explosion in Malang village","Village"
"5","0","0","0","Afghanistan","2020-12-20","3 police killed and 2 wounded in Taliban rocket fire ","Market"
"1","1","0","1","Afghanistan","2020-12-20","Roadside bomb kills 1 civilian and wounds a police officer in Kabul","Urban Residential"
"2","0","0","0","Afghanistan","2020-12-16","Magnetic bomb kills 1 police officer and wounds abother in Sar-e-Sayyad area","No Information"
"0","2","0","2","Afghanistan","2020-12-14","2 killed in Taliban roadside bomb in Jabadar area ","Urban Residential"
"0","2","0","2","Afghanistan","2020-12-11","2 children killed in Afghan rocket firce in Qurghan Tepa area","Urban Residential"