Province,District,,
Zabul,Shumulzay,,
Zabul,Shenkay,,
Zabul,Tarnak Wa Jaldak,,
Badakhshan,Arghanj Khwah,,
Badakhshan,Argo,,
Badakhshan,Baharak,,
Badakhshan,Darayim,,
Badakhshan,Darwaz-e-Bala,,
Badakhshan,Darwas-e Pa'in,,
Badakhshan,Ishkashim,,
Badakhshan,Faizabad,,
Badakhshan,Jurm,,
Badakhshan,Khash,,
Badakhshan,Khwahan,,
Badakhshan,Kiran Wa Munjan,,
Badakhshan,Kishim,,
Badakhshan,Kohistan,,
Badakhshan,Kuf Ab,,
Badakhshan,Raghistan,,
Badakhshan,Shahr-e Buzurg,,
Badakhshan,Shighnan,,
Badakhshan,Shiki,,
Badakhshan,Shuhada,,
Badakhshan,Tagab,,
Badakhshan,Tashkan,,
Badakhshan,Wakhan,,
Badakhshan,Warduj,,
Badakhshan,Yaftal-e-Sufla,,
Badakhshan,Yamgan,,
Badakhshan,Yawan,,
Badakhshan,Zebak,,
Badghis,Ab-e Kamari,,
Badghis,Ghormach,,
Badghis,Jawand,,
Badghis,Muqur,,
Badghis,Murghab,,
Badghis,Qadis,,
Badghis,Qal'ah-ye Now,,
Baghlan,Andarab,,
Baghlan,Baghlan-e Jadid,,
Baghlan,Burkah,,
Baghlan,Dahanah-ye Ghori,,
Baghlan,Deh-e Salah,,
Baghlan,Doshi,,
Baghlan,Firing wa Gharu,,
Baghlan,Gozargah-e Nur,,
Baghlan,Khinjan,,
Baghlan,Khost wa Firing,,
Baghlan,Khwajah Hijran,,
Baghlan,Nahrin,,
Baghlan,Pul-e Hisar,,
Baghlan,Pul-e Khumri,,
Baghlan,Talah Wa Barfak,,
Balkh,Balkh,,
Balkh,Chahar Bolak,,
Balkh,Chahar Kent,,
Balkh,Chimtal,,
Balkh,Dowlatabad,,
Balkh,Dehdadi,,
Balkh,Kaldar,,
Balkh,Khulm,,
Balkh,Kishindeh,,
Balkh,Marmul,,
Balkh,Mazar-e Sharif,,
Balkh,Nahr-e Shahi,,
Balkh,Sharak-e Hairatan,,
Balkh,Sholgarah,,
Balkh,Shortepah,,
Balkh,Zari,,
Bamiyan,Bamyan,,
Bamiyan,Kahmard,,
Bamiyan,Panjab,,
Bamiyan,Sayghan,,
Bamiyan,Shaybar,,
Bamiyan,Waras,,
Bamiyan,Yakawlang,,
Daikundi,Gayti,,
"Daikundi 
OR
Urozgan",Gizab,,
Daikundi,Ishterlay,,
Daikundi,Kejran,,
Daikundi,Khedir,,
Daikundi,Mir Amor,,
Daikundi,Nili,,
Daikundi,Sang-e Takht,,
Daikundi,Shahristan,,
Farah,Anar Dara,,
Farah,Bakwah,,
Farah,Bala Boluk,,
Farah,Farah,,
Farah,Gulistan,,
Farah,Khak-e Safed,,
Farah,Lash-i Juwayn,,
Farah,Pur Chaman,,
Farah,Pusht-e Rod,,
Farah,Qal'ah-ye Kah,,
Farah,Shayb Koh,,
Faryab,Almar,,
Faryab,Andkhoy,,
Faryab,Bal Chiragh,,
Faryab,Dowlatabad,,
Faryab,Gurziwan,,
Faryab,Khan-e Chahr Bagh,,
Faryab,Khwaja Sabz Posh,,
Faryab,Kohistan,,
Faryab,Maimanah,,
Faryab,Pashtun Kot,,
Faryab,Qaisar,,
Faryab,Qaram Qul,,
Faryab,Qurghan,,
Faryab,Shirin Tagab,,
Ghazni,Ab Band,,
Ghazni,Ajristan,,
Ghazni,Andar,,
Ghazni,Deh Yak,,
Ghazni,Gelan,,
Ghazni,Ghazni,,
Ghazni,Giro,,
Ghazni,Bahram-e Shahid,,
Ghazni,Jaghuri,,
Ghazni,Khwajah Omari,,
Ghazni,Malistan,,
Ghazni,Muqur,,
Ghazni,Nawah,,
Ghazni,Nawur,,
Ghazni,Qarah Bagh,,
Ghazni,Rashidan,,
Ghazni,Waghaz,,
Ghazni,Wali Muhammad Shahid Khugyani,,
Ghazni,Zanakhan,,
Ghor,Chahar Sadah,,
Ghor,Chaghcharan,,
Ghor,Dowlatyar,,
Ghor,Do Lainah,,
Ghor,La'l wa SarJangal,,
Ghor,Pasaband,,
Ghor,Saghar,,
Ghor,Shahrak,,
Ghor,Taywarah,,
Ghor,Tulak,,
Helmand,Baghran,,
Helmand,Dishu,,
Helmand,Garm Ser,,
Helmand,Kajaki,,
Helmand,Lashkar Gah,,
Helmand,Marja,,
Helmand,Musa Qal'ah,,
Helmand,Nad 'Ali,,
Helmand,Nahr-e Saraj,,
Helmand,Nawah-ye-Barakzai,,
Helmand,Now Zad,,
Helmand,Reg-e Khan Neshin,,
Helmand,Sangin,,
Helmand,Washer,,
Herat,Adraskan,,
Herat,Chisht-e Sharif,,
Herat,Injil,,
Herat,Farsi,,
Herat,Ghorian,,
Herat,Gulran,,
Herat,Guzarah,,
Herat,Herat,,
Herat,Karrukh,,
Herat,Kohsan,,
Herat,Kushk,,
Herat,Kushk-e Kuhnah,,
Herat,Obeh,,
Herat,Pashtun Zarghun,,
Herat,Shindand,,
Herat,Zindah Jan,,
Jowzjan,Aqchah,,
Jowzjan,Darzab,,
Jowzjan,Faizabad,,
Jowzjan,Khamyab,,
Jowzjan,Khanaqa,,
Jowzjan,Khwajah Do Koh,,
Jowzjan,Mardian,,
Jowzjan,Mingajik,,
Jowzjan,Qarqin,,
Jowzjan,Qush Tepah,,
Jowzjan,Shibirghan,,
Kabul,Bagrami,,
Kabul,Chahar Asyab,,
Kabul,Deh-e Sabz,,
Kabul,Istalif,,
Kabul,Farzah,,
Kabul,Gul Darah,,
Kabul,Kabul,,
Kabul,Kalakan,,
Kabul,Khak-e Jabar,,
Kabul,Mir Bacha Kot,,
Kabul,Musahi,,
Kabul,Paghman,,
Kabul,Qarah Bagh,,
Kabul,Shakar Darah,,
Kabul,Sarobi,,
Kandahar,Arghandab,,
Kandahar,Arghistan,,
Kandahar,Daman,,
Kandahar,Dand,,
Kandahar,Ghorak,,
Kandahar,Kandahar,,
Kandahar,Khakrez,,
Kandahar,Maiwand,,
Kandahar,Ma'ruf,,
Kandahar,Mya Nishin,,
Kandahar,Nesh,,
Kandahar,Panjwa'i,,
Kandahar,Registan,,
Kandahar,Shah Wali Kot,,
Kandahar,Shorabak,,
Kandahar,Spin Boldak,,
Kandahar,Zharey,,
Kapisa,Alah Say,,
Kapisa,Hisah-e Awal-e Kohistan,,
Kapisa,Hisah-e Dowum-e Kohistan,,
Kapisa,Koh Band,,
Kapisa,Mahmud-e Raqi,,
Kapisa,Nejrab,,
Kapisa,Tagab,,
Khost,Bak,,
Khost,Gurbuz,,
Khost,Jaji Maidan,,
Khost,Khost,,
Khost,Manduzai,,
Khost,Musa Khel,,
Khost,Nadir Shah Kot,,
Khost,Qalandar,,
Khost,Sabari,,
Khost,Shamul,,
Khost,Sperah,,
Khost,Tanai,,
Khost,Tirzayee,,
Kunar,Asadabad,,
Kunar,Bar Kunar,,
Kunar,Chapah Darah,,
Kunar,Dangam,,
Kunar,Darah-ye Pech,,
Kunar,Ghaziabad,,
Kunar,Khas Kunar,,
Kunar,Marawara,,
Kunar,Narang,,
Kunar,Nari,,
Kunar,Nurgal,,
Kunar,Sar Kani,,
Kunar,Tsowkey,,
Kunar,Shigal wa Sheltan,,
Kunar,Watahpur,,
Kunduz,Aliabad,,
Kunduz,Chahar Darah,,
Kunduz,Dasht-e Archi,,
Kunduz,Imam Sahib,,
Kunduz,Khanabad,,
Kunduz,Kunduz,,
Kunduz,Qal'ah-ye Zal,,
Laghman,Alingar,,
Laghman,Alisheng,,
Laghman,Bad Pash,,
Laghman,Dowlat Shah,,
Laghman,Mehtar Lam,,
Laghman,Qarghah'i,,
Logar,Azrah,,
Logar,Baraki Barak,,
Logar,Charkh,,
Logar,Kharwar,,
Logar,Khoshi,,
Logar,Muhammad Aghah,,
Logar,Puli Alam,,
Nangarhar,Achin,,
Nangarhar,Bati Kot,,
Nangarhar,Behsud,,
Nangarhar,Chaparhar,,
Nangarhar,Darah-ye-Nur,,
Nangarhar,Deh Bala,,
Nangarhar,Dur Baba,,
Nangarhar,Goshtah,,
Nangarhar,Hisarak,,
Nangarhar,Jalalabad,,
Nangarhar,Kamah,,
Nangarhar,Khugyani,,
Nangarhar,Kot,,
Nangarhar,Kuz Kunar,,
Nangarhar,La'lpur,,
Nangarhar,Mohmand Darah,,
Nangarhar,Naziyan,,
Nangarhar,Pachir wa Agam,,
Nangarhar,Rodat,,
Nangarhar,Sherzad,,
Nangarhar,Shinwar,,
Nangarhar,Surkh Rod,,
Nimroz,Chakhansur,,
Nimroz,Chahar Burjak,,
Nimroz,Delaram,,
Nimroz,Kang,,
Nimroz,Khash Rod,,
Nimroz,Zaranj,,
Nuristan,Barg-e Matal,,
Nuristan,Do Ab,,
Nuristan,Kamdesh,,
Nuristan,Mandol,,
Nuristan,Nurgaram,,
Nuristan,Parun,,
Nuristan,Wama,,
Nuristan,Waygal,,
Paktia,Shwak,,
Paktia,Ahmadabad,,
Paktia,Dand Patan,,
Paktia,Gardez,,
Paktia,Jaji,,
Paktia,Jani Khel,,
Paktia,Lajah Ahmad Khel,,
Paktia,Lajah Mangal,,
Paktia,Mirzakah,,
Paktia,Tsamkani,,
Paktia,Sayyid Karam,,
Paktia,Dzadran,,
Paktia,Zurmat,,
Paktika,Bermal,,
Paktika,Dilah,,
Paktika,Giyan,,
Paktika,Gomal,,
Paktika,Jani Khel,,
Paktika,Mota Khan,,
Paktika,Nikeh,,
Paktika,Omnah,,
Paktika,Sar Rawza,,
Paktika,Sharan,,
Paktika,Sarobi,,
Paktika,Turwo,,
Paktika,Urgun,,
Paktika,Wazah Khwah,,
Paktika,Wur Mamay,,
Paktika,Yahya Khel,,
Paktika,Yosuf Khel,,
Paktika,Zarghun Shahr,,
Paktika,Ziruk,,
Panjsher,Abshar,,
Panjsher,Bazarak,,
Panjsher,Darah,,
Panjsher,Khinj,,
Panjsher,Parian,,
Panjsher,Rukhah,,
Panjsher,Shutul,,
Panjsher,Unabah,,
Parwan,Bagram,,
Parwan,Charikar,,
Parwan,Jabul us Saraj,,
Parwan,Koh-e Safi,,
Parwan,Salang,,
Parwan,Sayyid Khayl,,
Parwan,Shaykh 'Ali,,
Parwan,Shinwari,,
Parwan,Siahgird,,
Parwan,Surkhi Parsa,,
Samangan,Aibak,,
Samangan,Darah-ye-Suf-e Bala,,
Samangan,Darah-ye-Suf-e Pa'in,,
Samangan,Fayroz Nakhchir,,
Samangan,Hazrat-e-Sultan,,
Samangan,Khuram wa Sar Bagh,,
Samangan,Ruy Do Ab,,
Saripul,Balkhab,,
Saripul,Gosfandi,,
Saripul,Kohistanat,,
Saripul,Sancharak,,
Saripul,Sar-e Pul,,
Saripul,Sayad,,
Saripul,Sozmah Qal'ah,,
Takhar,Baharak,,
Takhar,Bangi,,
Takhar,Chah Ab,,
Takhar,Chal,,
Takhar,Darqad,,
Takhar,Dasht-e Qal'ah,,
Takhar,Ishkamish,,
Takhar,Farkhar,,
Takhar,Hazar Sumuch,,
Takhar,Kalafgan,,
Takhar,Khwaja Bahawuddin,,
Takhar,Khwaja Ghar,,
Takhar,Namak Ab,,
Takhar,Rustaq,,
Takhar,Taluqan,,
Takhar,Warsaj,,
Takhar,Yangi Qal'ah,,
Urozgan,Chinartu,,
Urozgan,Chorah,,
Urozgan,Deh Rawud,,
Urozgan,Khas Uruzgan,,
Urozgan,Shahidi Hassas,,
Urozgan,Tirin Kot,,
Wardak,Chak-e Wardak,,
Wardak,Daimirdad,,
Wardak,Hisah-e Awal-e Behsud,,
Wardak,Jaghatu,,
Wardak,Jalrayz,,
Wardak,Maidan Shahr,,
Wardak,Markaz-e-Behsud,,
Wardak,Nerkh,,
Wardak,Sayyidabad,,
Zabul,Arghandab,,
Zabul,Atghar,,
Zabul,Daichopan,,
Zabul,Kakar,,
Zabul,Mizan,,
Zabul,Now Bahar,,
Zabul,Qalat,,
Zabul,Shah Joi,,
Zabul,Shamulzai,,
Zabul,Shinkai,,
Zabul,Tarnek wa Jaldak,,
Badakhshan,Arghanjkhwa,,
Badakhshan,Argo,,
Badakhshan,Baharak,,
Badakhshan,Darayem,,
Badakhshan,Darwaz-e-Balla,,
Badakhshan,Darwaz,,
Badakhshan,Eshkshim,,
Badakhshan,Fayzabad,,
Badakhshan,Jorm,,
Badakhshan,Khash,,
Badakhshan,Khwahan,,
Badakhshan,Koran wa Monjan,,
Badakhshan,Keshem,,
Badakhshan,Kohestan,,
Badakhshan,Kofab,,
Badakhshan,Raghestan,,
Badakhshan,Shahr-e-Buzorg,,
Badakhshan,Shighnan,,
Badakhshan,Shaki,,
Badakhshan,Shuhada,,
Badakhshan,Tagab,,
Badakhshan,Teshkan,,
Badakhshan,Wakhan,,
Badakhshan,Warduj,,
Badakhshan,Yaftal-e-Sufla,,
Badakhshan,Yamgan,,
Badakhshan,Yawan,,
Badakhshan,Zebak,,
Badghis,Abkamari,,
Badghis,Ghormach,,
Badghis,Jawand,,
Badghis,Muqur,,
Badghis,Balamurghab,,
Badghis,Qadis,,
Badghis,Qala-e-Naw,,
Baghlan,Andarab,,
Baghlan,Baghlan-e-Jadid,,
Baghlan,Burka,,
Baghlan,Dahana-e-Ghori,,
Baghlan,Dehsalah,,
Baghlan,Doshi,,
Baghlan,Fereng Wa Gharu,,
Baghlan,Guzargah-e-Nur,,
Baghlan,Khenjan,,
Baghlan,Khost Wa Fereng,,
Baghlan,Khwajahejran,,
Baghlan,Nahrin,,
Baghlan,Pul-e-Hesar,,
Baghlan,Pul-e-khumri,,
Baghlan,Tala wa Barfak,,
Balkh,Balkh,,
Balkh,Charbulak,,
Balkh,Charkent,,
Balkh,Chemtal,,
Balkh,Dawlatabad,,
Balkh,Dehdadi,,
Balkh,Kaldar,,
Balkh,Khulm,,
Balkh,Keshendeh,,
Balkh,Marmul,,
Balkh,Mazar-e-Sharif,,
Balkh,Nahr-e-Shahi,,
Balkh,Sharak-e-Hayratan,,
Balkh,Sholgareh,,
Balkh,Shortepa,,
Balkh,Zari,,
Bamiyan,Bamyan,,
Bamiyan,Kahmard,,
Bamiyan,Panjab,,
Bamiyan,Sayghan,,
Bamiyan,Shibar,,
Bamiyan,Waras,,
Bamiyan,Yakawlang,,
Daikundi,Kiti,,
"Daikundi 
OR
Urozgan",Gizab,,
Daikundi,Ashtarlay,,
Daikundi,Kajran,,
Daikundi,Khadir,,
Daikundi,Miramor,,
Daikundi,Nili,,
Daikundi,Sang-e-Takht,,
Daikundi,Shahrestan,,
Farah,Anardara,,
Farah,Bakwa,,
Farah,Balabuluk,,
Farah,Farah,,
Farah,Gulestan,,
Farah,Khak-e-Safed,,
Farah,Lash-e-Juwayn,,
Farah,Purchaman,,
Farah,Pushtrod,,
Farah,Qala-e-Kah,,
Farah,Shibkoh,,
Faryab,Almar,,
Faryab,Andkhoy,,
Faryab,Bilcheragh,,
Faryab,Dawlatabad,,
Faryab,Garziwan,,
Faryab,Khan-e-Char Bagh,,
Faryab,Khwajasabzposh,,
Faryab,Kohestan,,
Faryab,Maymana,,
Faryab,Pashtunkot,,
Faryab,Qaysar,,
Faryab,Qaramqol,,
Faryab,Qorghan,,
Faryab,Shirintagab,,
Ghazni,Abband,,
Ghazni,Ajrestan,,
Ghazni,Andar,,
Ghazni,Dehyak,,
Ghazni,Gelan,,
Ghazni,Ghazni,,
Ghazni,Giro,,
Ghazni,Jaghatu,,
Ghazni,Jaghuri,,
Ghazni,Khwajaumari,,
Ghazni,Malestan,,
Ghazni,Muqur,,
Ghazni,Nawa,,
Ghazni,Nawur,,
Ghazni,Qarabagh,,
Ghazni,Rashidan,,
Ghazni,Waghaz,,
Ghazni,Walimuhammad-e-Shahid,,
Ghazni,Zanakhan,,
Ghor,Charsada,,
Ghor,Chaghcharan,,
Ghor,Dawlatyar,,
Ghor,DoLayna,,
Ghor,Lal wa Sarjangal,,
Ghor,Pasaband,,
Ghor,Saghar,,
Ghor,Shahrak,,
Ghor,Taywarah,,
Ghor,Tolak,,
Helmand,Baghran,,
Helmand,Deh-e-shu,,
Helmand,Garmser,,
Helmand,Kajaki,,
Helmand,Lashkargah,,
Helmand,Musaqalah,,
Helmand,Nad-e-Ali,,
Helmand,Nahr-e-Saraj,,
Helmand,Nawa-e-Barakzaiy,,
Helmand,Nawzad,,
Helmand,Reg,,
Helmand,Sangin,,
Helmand,Washer,,
Herat,Adraskan,,
Herat,Chisht-e-Sharif,,
Herat,Injil,,
Herat,Farsi,,
Herat,Ghoryan,,
Herat,Gulran,,
Herat,Guzara,,
Herat,Herat,,
Herat,Karukh,,
Herat,Kohsan,,
Herat,Kushk,,
Herat,Kushk-e-Kohna,,
Herat,Obe,,
Herat,Pashtunzarghun,,
Herat,Shindand,,
Herat,Zindajan,,
Jowzjan,Aqcha,,
Jowzjan,Darzab,,
Jowzjan,Fayzabad,,
Jowzjan,Khamyab,,
Jowzjan,Khanaqa,,
Jowzjan,Khwajadukoh,,
Jowzjan,Mardyan,,
Jowzjan,Mingajik,,
Jowzjan,Qarqin,,
Jowzjan,Qushtepa,,
Jowzjan,Shiberghan,,
Kabul,Bagrami,,
Kabul,Chaharasyab,,
Kabul,Dehsabz,,
Kabul,Estalef,,
Kabul,Farza,,
Kabul,Guldara,,
Kabul,Kabul,,
Kabul,Kalakan,,
Kabul,Khak-e-Jabbar,,
Kabul,Mirbachakot,,
Kabul,Musayi,,
Kabul,Paghman,,
Kabul,Qarabagh,,
Kabul,Shakardara,,
Kabul,Surobi,,
Kandahar,Arghandab,,
Kandahar,Arghestan,,
Kandahar,Daman,,
Kandahar,Ghorak,,
Kandahar,Kandahar,,
Kandahar,Khakrez,,
Kandahar,Maywand,,
Kandahar,Maruf,,
Kandahar,Miyanshin,,
Kandahar,Nesh,,
Kandahar,Panjwayi,,
Kandahar,Reg,,
Kandahar,Shahwalikot,,
Kandahar,Shorabak,,
Kandahar,Spinboldak,,
Kandahar,Zheray,,
Kapisa,Alasay,,
Kapisa,Hisa-e-Awal-e-Kohestan,,
Kapisa,Hisa-e-Duwum-e-Kohestan,,
Kapisa,Kohband,,
Kapisa,Mahmud-e-Raqi,,
Kapisa,Nejrab,,
Kapisa,Tagab,,
Khost,Bak,,
Khost,Gurbuz,,
Khost,Jajimaydan,,
Khost,Khost,,
Khost,Mandozayi,,
Khost,Musakhel,,
Khost,Nadirshahkot,,
Khost,Qalandar,,
Khost,Sabari,,
Khost,Shamal,,
Khost,Spera,,
Khost,Tani,,
Khost,Terezayi,,
Kunar,Asadabad,,
Kunar,Barkunar,,
Kunar,Chapadara,,
Kunar,Dangam,,
Kunar,Dara-e-Pech,,
Kunar,Ghaziabad,,
Kunar,Khaskunar,,
Kunar,Marawara,,
Kunar,Narang,,
Kunar,Nari,,
Kunar,Nurgal,,
Kunar,Sarkani,,
Kunar,Chawkay,,
Kunar,Shigal wa Sheltan,,
Kunar,Watapur,,
Kunduz,Aliabad,,
Kunduz,Chardarah,,
Kunduz,Dasht-e-Archi,,
Kunduz,Emamsaheb,,
Kunduz,Khanabad,,
Kunduz,Kunduz,,
Kunduz,Qala-e-Zal,,
Laghman,Alingar,,
Laghman,Alishang,,
Laghman,Dawlatshah,,
Laghman,Mehtarlam,,
Laghman,Qarghayi,,
Logar,Azra,,
Logar,Barakibarak,,
Logar,Charkh,,
Logar,Kharwar,,
Logar,Khoshi,,
Logar,Mohammadagha,,
Logar,Pul-e-Alam,,
Nangarhar,Achin,,
Nangarhar,Batikot,,
Nangarhar,Behsud,,
Nangarhar,Chaparhar,,
Nangarhar,Dara-e-Nur,,
Nangarhar,Dehbala,,
Nangarhar,Durbaba,,
Nangarhar,Goshta,,
Nangarhar,Hesarak,,
Nangarhar,Jalalabad,,
Nangarhar,Kama,,
Nangarhar,Khogyani,,
Nangarhar,Kot,,
Nangarhar,Kuzkunar,,
Nangarhar,Lalpur,,
Nangarhar,Muhmand Dara,,
Nangarhar,Nazyan,,
Nangarhar,Pachieragam,,
Nangarhar,Rodat,,
Nangarhar,Sherzad,,
Nangarhar,Shinwar,,
Nangarhar,Surkhrod,,
Nimroz,Chakhansur,,
Nimroz,Charburjak,,
Nimroz,Kang,,
Nimroz,Khashrod,,
Nimroz,Zaranj,,
Nuristan,Barg-e-Matal,,
Nuristan,Duab,,
Nuristan,Kamdesh,,
Nuristan,Mandol,,
Nuristan,Nurgeram,,
Nuristan,Poruns,,
Nuristan,Wama,,
Nuristan,Waygal,,
Paktia,Shawak,,
Paktia,Ahmadaba,,
Paktia,Dand wa Patan,,
Paktia,Gardez,,
Paktia,Alikhel,,
Paktia,Janikhel,,
Paktia,Lija Ahmad Khel,,
Paktia,Chamkani,,
Paktia,Sayedkaram,,
Paktia,Zadran,,
Paktia,Zurmat,,
Paktika,Bermel,,
Paktika,Dila,,
Paktika,Gyan,,
Paktika,Gomal,,
Paktika,Janikhel,,
Paktika,Matakhan,,
Paktika,Naka,,
Paktika,Omna,,
Paktika,Sarrawzah,,
Paktika,Sharan,,
Paktika,Sarobi,,
Paktika,Turwo,,
Paktika,Urgun,,
Paktika,Wazakhah,,
Paktika,Wormamay,,
Paktika,Yahyakhel,,
Paktika,Yosufkhel,,
Paktika,Zarghunshahr,,
Paktika,Ziruk,,
Panjsher,Bazarak,,
Panjsher,Dara,,
Panjsher,Khenj,,
Panjsher,Paryan,,
Panjsher,Rukha,,
Panjsher,Shutul,,
Panjsher,Onaba,,
Parwan,Bagram,,
Parwan,Charikar,,
Parwan,Jabalussaraj,,
Parwan,Koh-e-Safi,,
Parwan,Salang,,
Parwan,Saydkhel,,
Parwan,Shekhali,,
Parwan,Shinwari,,
Parwan,Ghorband,,
Parwan,Surkh-e-Parsa,,
Samangan,Aybak,,
Samangan,Dara-e Suf-e-Bala,,
Samangan,Dara-e-Suf-e-Payin,,
Samangan,Feroznakhchir,,
Samangan,Hazrat-e-Sultan,,
Samangan,Khuram Wa Sarbagh,,
Samangan,Ruy-e-Duab,,
Saripul,Balkhab,,
Saripul,Gosfandi,,
Saripul,Kohestanat,,
Saripul,Sancharak,,
Saripul,Sar-e-Pul,,
Saripul,Sayad,,
Saripul,Sozmaqala,,
Takhar,Baharak,,
Takhar,Bangi,,
Takhar,Chahab,,
Takhar,Chal,,
Takhar,Darqad,,
Takhar,Dasht-e-Qala,,
Takhar,Eshkamesh,,
Takhar,Farkhar,,
Takhar,Hazarsumuch,,
Takhar,Kalafgan,,
Takhar,Khwajabahawuddin,,
Takhar,Khwajaghar,,
Takhar,Namakab,,
Takhar,Rostaq,,
Takhar,Taloqan,,
Takhar,Warsaj,,
Takhar,Yangi Qala,,
Urozgan,Chora,,
Urozgan,Dehrawud,,
Urozgan,Khasuruzgan,,
Urozgan,Shahid-e-Hassas,,
Urozgan,Tirinkot,,
Wardak,Chak,,
Wardak,Daymirdad,,
Wardak,Hesa-e-Awal-e-Behsud,,
Wardak,Jaghatu,,
Wardak,Jalrez,,
Wardak,Maydanshahr,,
Wardak,Markaz-e-Behsud,,
Wardak,Nerkh,,
Wardak,Saydabad,,
Zabul,Arghandab,,
Zabul,Atghar,,
Zabul,Daychopan,,
Zabul,Kakar,,
Zabul,Mizan,,
Zabul,Nawbahar,,
Zabul,Qalat,,
Zabul,Shahjoy,,
Zabul,Shomulzay,,
Zabul,Shinkay,,
Zabul,Tarnak Wa Jaldak,,
,,,
